Sr.No.,Sub.Code,TYPE,Subject,Semester,Stream,Branch,Day,Sitting
1,HSSM3403,,MARKETING MANAGEMENT,8TH,B.TECH,BIO TECHNOLOGY,1,1
2,PCBT4403,,FOOD BIOTECHNOLOGY,8TH,B.TECH,BIO TECHNOLOGY,1,3
3,PCBT4404,,"IPR IN BIOTECHNOLOGY, BIOSAFETY AND BIOETHICS",8TH,B.TECH,BIO TECHNOLOGY,2,1
4,PECE5404,,PROCESS SIMULATION AND MODELING,8TH,B.TECH,BIO TECHNOLOGY,2,3
5,HSSM3403,,MARKETING MANAGEMENT,8TH,B.TECH,CIVIL ENGINEERING,1,1
6,PECI5408,,"CONSTRUCTION EQUIPMENTS, PLANNING AND MANAGEMENT",8TH,B.TECH,CIVIL ENGINEERING,1,3
7,PECI5413,,SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,8TH,B.TECH,CIVIL ENGINEERING,2,1
8,PECI5415,,PRESTRESSED CONCRETE,8TH,B.TECH,CIVIL ENGINEERING,2,3
9,HSSM3402,,ENVIRONMENTAL ENGINEERING,8TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,1
10,PECS5406,,DIGITAL IMAGE PROCESSING,8TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,3
11,PECS5409,,DATA AND WEB MINING,8TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,3,1
12,PEEC5418,,SATELITE COMMUNICATION SYSTEMS,8TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,3
13,PEEI5403,,INDUSTRIAL INSTRUMENTATION,8TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,1
14,PCEE4402,,POWER SYSTEM PROTECTION,8TH,B.TECH,ELECTRICAL ENGINEERING,1,3
15,PEEL5403,,ELECTRICAL POWER QUALITY,8TH,B.TECH,ELECTRICAL ENGINEERING,2,1
16,PEEC5418,,SATELITE COMMUNICATION SYSTEMS,8TH,B.TECH,ELECTRICAL ENGINEERING,2,3
17,FEEE6401,,POWER STATION ENGINEERING AND ECONOMY,8TH,B.TECH,ELECTRICAL ENGINEERING,1,1
18,HSSM3403,,MARKETING MANAGEMENT,8TH,B.TECH,ELECTRICAL ENGINEERING,1,1
19,HSSM3402,,ENVIRONMENTAL ENGINEERING,8TH,B.TECH,FASHION & APPAREL TECHNOLOGY,2,1
20,PETX5413,,"APPAREL PRODUCTION, PLANNING AND CONTROL SCHEDULING",8TH,B.TECH,FASHION & APPAREL TECHNOLOGY,2,3
21,PEFT5408,,ENTREPRENEURIAL DEVELOPMENT IN FASHION AND APPAREL INDUSTRY,8TH,B.TECH,FASHION & APPAREL TECHNOLOGY,1,1
22,PECS5406,,DIGITAL IMAGE PROCESSING,8TH,B.TECH,FASHION & APPAREL TECHNOLOGY,1,3
23,HSSM3402,,ENVIRONMENTAL ENGINEERING,8TH,B.TECH,INFORMATION TECHNOLOGY,2,1
24,PECS5408,,EMBEDDED SYSTEM DEVELOPMENT,8TH,B.TECH,INFORMATION TECHNOLOGY,1,3
25,PEIT5402,,UBIQUITOUS COMPUTING,8TH,B.TECH,INFORMATION TECHNOLOGY,3,1
26,PEEC5418,,SATELITE COMMUNICATION SYSTEMS,8TH,B.TECH,INFORMATION TECHNOLOGY,2,3
27,PEEI5403,,INDUSTRIAL INSTRUMENTATION,8TH,B.TECH,INFORMATION TECHNOLOGY,1,1
28,PECS5406,,DIGITAL IMAGE PROCESSING,8TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,1,3
29,PECS5407,,WIRELESS SENSOR NETWORKS,8TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,2,1
30,PEEI5403,,INDUSTRIAL INSTRUMENTATION,8TH,B.TECH,INSTRUMENTATION & ELECTRONICS ENGINEERING,1,1
31,HSSM3402,,ENVIRONMENTAL ENGINEERING,8TH,B.TECH,MECHANICAL ENGINEERING,2,1
32,PCME4404,,PRODUCTION AND OPERATION MANAGEMENT,8TH,B.TECH,MECHANICAL ENGINEERING,1,3
33,PEME5409,,POWER PLANT ENGINEERING,8TH,B.TECH,MECHANICAL ENGINEERING,2,3
34,HSSM3403,,MARKETING MANAGEMENT,8TH,B.TECH,MECHANICAL ENGINEERING,1,1
35,HSSM3402,,ENVIRONMENTAL ENGINEERING,8TH,B.TECH,TEXTILE ENGINEERING,1,1
36,PETX5409,,ENTREPRENEURSHIP IN TEXTILE,8TH,B.TECH,TEXTILE ENGINEERING,1,3
37,PETX5410,,CLOTHING SCIENCE AND TECHNOLOGY,8TH,B.TECH,TEXTILE ENGINEERING,2,1
38,PETX5413,,"APPAREL PRODUCTION, PLANNING AND CONTROL SCHEDULING",8TH,B.TECH,TEXTILE ENGINEERING,2,3
39,AR813,,PROFESSIONAL PRACTICE AND BUILDING BYE-LAWS,8TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,1
40,AR823,,HOUSING AND COMMUNITY PLANNING,8TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,3
41,AR833,,ARCHITECTURAL RESEARCH METHODS,8TH,B.ARCH,BACHELOR OF ARCHITECTURE,2,1
42,EAR843,,URBAN DESIGN,8TH,B.ARCH,BACHELOR OF ARCHITECTURE,2,3
43,EAR853,,BARRIER FREE ENVIRONMENT,8TH,B.ARCH,BACHELOR OF ARCHITECTURE,3,1
44,AR013,,REAL ESTATE MANAGEMENT,10TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,1
45,AR023,,THEORIES OF DESIGN,10TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,3
46,EAR033B,,ARCHITECTURAL CONSERVATION,10TH,B.ARCH,BACHELOR OF ARCHITECTURE,2,1
47,AM623,,BUILDING SERVICES - IV (REFRIGERATION AND AIR CONDITIONING),5TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,1
48,AR633,,LANDSCAPE DESIGN,5TH,B.ARCH,BACHELOR OF ARCHITECTURE,1,3
49,AR642,,ESTIMATION AND VALUATION,5TH,B.ARCH,BACHELOR OF ARCHITECTURE,2,1
50,AR653,,INTERIOR DESIGN,5TH,B.ARCH,BACHELOR OF ARCHITECTURE,2,3
51,AS614,,STEEL STRUCTURE,5TH,B.ARCH,BACHELOR OF ARCHITECTURE,3,1
52,15BPLN601,,REGIONAL PLANNING,5TH,B.PLAN,BACHELOR OF PLANNING,1,1
53,15BPLN602,,PUBLIC FINANCE,5TH,B.PLAN,BACHELOR OF PLANNING,1,3
54,15BPLN603,,"PROJECT FORMULATION,APPRAISAL & MANAGEMENT",5TH,B.PLAN,BACHELOR OF PLANNING,2,1
55,15BPLN604,,INTRODUCTION TO URBAN DESIGN,5TH,B.PLAN,BACHELOR OF PLANNING,2,3
56,15BPLN605,,PLANNING AND MANAGEMENT OF INFORMAL SECTOR,5TH,B.PLAN,BACHELOR OF PLANNING,3,1
57,15BPLN606,,GIS LAB FOR PLANNING,5TH,B.PLAN,BACHELOR OF PLANNING,3,3
58,15MPPC401,,PROFESSIONAL PRACTICE,4TH,M.PLAN,MASTER IN PLANNING,1,1
59,15MPPC402,,PROJECT PLANNING AND APPRAISAL,4TH,M.PLAN,MASTER IN PLANNING,1,3
60,15MPPE403A,,"ENERGY, CLIMATE CHANGE AND URBAN DEVELOPMENT",4TH,M.PLAN,MASTER IN PLANNING,2,1
61,15MPPE403B,,CITY AND METROPOLITAN PLANNING,4TH,M.PLAN,MASTER IN PLANNING,2,3
62,15MPPE403C,,DISASTER MANAGEMENT,4TH,M.PLAN,MASTER IN PLANNING,3,1
1,PBT6I101,PC(CP),BIOREACTOR DESIGN AND ANALYSIS,5TH,B.TECH,BIO TECHNOLOGY,1,2
2,PBT6I102,PC(CP),BIOINFOMATICS,5TH,B.TECH,BIO TECHNOLOGY,1,4
3,PBT6J001,PE(O1),STEM CELL ENGINEERING,5TH,B.TECH,BIO TECHNOLOGY,2,2
4,PBT6J004,PE(O2),NANOBIOTECHNOLOGY,5TH,B.TECH,BIO TECHNOLOGY,2,4
5,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,5TH,B.TECH,BIO TECHNOLOGY,3,2
6,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,5TH,B.TECH,BIO TECHNOLOGY,3,4
7,PCI6I101,PC(CP),FOUNDATION ENGG.,5TH,B.TECH,CIVIL ENGINEERING,1,2
8,PCI6I102,PC(CP),IRRIGATION ENGINEERING,5TH,B.TECH,CIVIL ENGINEERING,1,4
9,PCI6J001,PE(O1),ADVANCED TRANSPORTATION ENGINEERING,5TH,B.TECH,CIVIL ENGINEERING,2,2
10,PCI6J006,PE(O2),PRE-STRESSED CONCRETE,5TH,B.TECH,CIVIL ENGINEERING,2,4
11,PMG6M001,,ENVIRONMENTAL SCIENCE & ENGINEERING,5TH,B.TECH,CIVIL ENGINEERING,3,2
12,PEN6E101,HS(CP),BUSINESS COMMUNICATION AND SKILL FOR INTERVIEW,5TH,B.TECH,CIVIL ENGINEERING,3,4
13,PCS6I101,PC(CP),COMPUTER NETWORK,5TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,2
14,PCS6I102,PC(CP),COMPILER DESIGN,5TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,1,4
15,PCS6J001,PE(O1),DIGITAL IMAGE PROCESSING,5TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,2
16,PCS6J005,PE(O2),INTERNET & WEB TECHNOLOGY,5TH,B.TECH,COMPUTER SCIENCE & ENGINEERING,2,4
